uem_maputo,maravia,massangulo_1,nanhupo_1,dindiza,nhapassa_1
18.6288,0,50.1,31.4,7.6,0
18.6288,0,80.2,58,31.8,0.3
19.9595,1.6,113.3,90.1,68.7,3.8
19.9595,5.6,147.9,121.5,108,13
22.6207,12.3,186,154.3,144.5,30.8
21.2901,21.8,230.7,186.2,182,56.1
22.6207,31.9,274,221.3,221.4,86.3
25.282,45.2,312,256.9,261.2,113.6
25.282,108.7,353.7,292.3,301.1,142
27.9433,181.4,392.3,330.2,342.4,172.6
29.2739,230.7,434.2,365,383.4,201.2
31.9352,268.4,473.8,398,424.1,231.3
38.5883,292,510.8,432.3,464.3,262.9
42.5802,321.6,551.4,465.7,502.6,293.2
41.2496,313,588.8,497.6,538.5,325.2
45.2415,387.4,625.3,527.8,574.3,355.1
42.5802,408.7,657.9,559.5,609.1,384.3
47.9027,429.1,691.2,587.4,644.8,412.1
47.9027,445.4,723.3,615.1,677,441.3
45.2415,475,754.8,639.3,707.9,468
43.9108,507.9,786.1,660.8,737.3,492.7
43.9108,530.4,811,685,764.7,512.5
45.2415,549.4,836.6,707.1,788.9,534.8
47.9027,569.1,861.3,723.6,816.6,556.2
49.2334,587.1,881.4,740.9,840.7,578.1
51.8946,601.2,896.4,754.1,862.6,595.2
51.8946,615.2,911.7,765.9,881.5,608.6
53.2253,629,923.5,775.8,899.6,620.7
51.8946,638.9,905,785.3,915,640.3
55.8865,648.5,941.2,793.3,929.3,652.5
55.8865,656,945.7,797.6,935,662.8
57.2172,661.8,947.6,799.3,946.4,670.4
58.5478,665.8,941.2,802,952.2,679.6
57.2172,668.6,951.4,779,954.8,684.7
55.8865,668.6,936.7,802.5,956.8,689.3
58.5478,664.5,936.1,798.7,959.3,690.3
58.5478,661.8,929.2,792.8,958.7,683.7
61.2091,658.2,924.1,783.7,955.5,684.7
59.8784,648.9,916.7,775.3,952.2,668.2
62.5397,639.3,906.2,764.3,946.4,666.4
75.846,628.2,898.2,750.5,938.2,668.2
67.8622,616,888.6,735.4,926.2,660.1
70.5235,600.3,869.5,719.2,915.6,649.5
79.8379,585.5,852,697.1,900.8,587.5
73.1847,569.1,834.4,680.8,886.3,615.6
87.8217,550.1,806,660.4,868.5,598.8
105.1199,530,777.6,638,847.6,578.5
106.4505,507.9,742.2,609.7,824.9,556.6
133.0632,485.7,707.3,584.2,800.7,532.3
91.8136,460.4,685.6,555.7,774.1,502.5
94.4749,433.8,646,523.9,747.3,465.8
123.7487,407.3,606.2,493.3,716.6,458.6
123.7487,380.2,557.7,466.6,683.4,433.6
192.9416,351.2,508.3,429.4,650,407.1
151.692,320.8,462.4,396.1,614.1,378.9
