time,clear,cloudy,intermediate
6:00:00,0.8125,0.9601,0.8854
6:01:00,0.8337,0.957,0.8907
6:02:00,0.8468,0.9606,0.8886
6:03:00,0.8525,0.9574,0.8935
6:04:00,0.8647,0.9542,0.8913
6:05:00,0.8764,0.9575,0.8958
6:06:00,0.8811,0.9669,0.8935
6:07:00,0.8855,0.9574,0.8978
6:08:00,0.8961,0.9603,0.9018
6:09:00,0.9064,0.9691,0.9057
6:10:00,0.91,0.9717,0.9094
6:11:00,0.9135,0.9625,0.9068
6:12:00,0.9168,0.9592,0.9102
6:13:00,0.92,0.956,0.9135
6:14:00,0.923,0.9752,0.9225
6:15:00,0.9259,1.0432,0.9197
6:16:00,0.9287,1.0929,0.9226
6:17:00,0.9258,0.9225,0.9198
6:18:00,0.9285,0.9357,0.9171
6:19:00,0.9256,0.8292,0.9198
6:20:00,0.9228,0.9915,0.9224
6:21:00,0.9096,0.7712,0.9249
6:22:00,0.8761,1.1386,0.9273
6:23:00,0.8029,1.1479,0.9296
6:24:00,0.6916,1.0649,0.9318
6:25:00,0.5487,1.0844,0.929
6:26:00,0.9119,1.0704,0.9262
6:27:00,0.8517,1.1451,0.9235
6:28:00,0.8357,0.7951,0.9303
6:29:00,0.8202,1.0666,0.9323
6:30:00,0.9206,0.6141,0.9342
6:31:00,0.845,0.5402,0.9315
6:32:00,0.8795,0.5074,0.9378
6:33:00,0.9443,0.4797,0.9351
6:34:00,0.9503,0.4612,0.9368
6:35:00,0.9431,0.4769,0.9385
6:36:00,0.9618,0.5173,0.9401
6:37:00,0.9589,0.5526,0.9416
6:38:00,0.9602,0.6564,0.939
6:39:00,0.9573,0.6087,0.9405
6:40:00,0.9709,0.6299,0.942
6:41:00,0.887,0.6111,0.9475
6:42:00,0.9811,0.6084,0.9448
6:43:00,0.9821,0.6018,0.9462
6:44:00,1.0026,0.5916,0.9515
6:45:00,1.0111,0.5627,0.9528
6:46:00,1.0155,0.5531,0.9578
6:47:00,1.0199,0.5659,0.9552
6:48:00,1.0241,0.6883,0.9602
6:49:00,1.0023,0.6632,0.9576
6:50:00,1.003,0.6565,0.9661
6:51:00,0.9745,0.6429,0.9634
6:52:00,0.9935,0.6577,0.9681
6:53:00,0.8909,0.6653,0.9655
6:54:00,0.6704,0.5933,0.9665
6:55:00,0.4786,0.5774,0.964
6:56:00,0.5466,0.6126,0.965
6:57:00,0.8497,1.2975,0.9626
6:58:00,1.0894,0.8869,0.9636
6:59:00,1.069,1.1223,0.9613
7:00:00,0.9858,0.711,0.9623
7:01:00,1.0394,0.5785,0.96
7:02:00,1.0593,0.5253,0.9643
7:03:00,0.8715,0.4985,0.962
7:04:00,0.732,0.4878,0.963
7:05:00,0.5982,0.493,0.964
7:06:00,0.8422,0.5011,0.9618
7:07:00,1.0287,0.4969,0.9628
7:08:00,0.9764,0.4775,0.9607
7:09:00,0.9066,0.4554,0.9617
7:10:00,0.9111,0.4247,0.9627
7:11:00,0.6557,0.4183,0.9606
7:12:00,0.4255,0.4178,0.9646
7:13:00,0.5319,0.4261,0.9656
7:14:00,0.6013,0.4372,0.9636
7:15:00,0.4766,0.4453,0.9646
